S Ladda,1
VR Aaron,3
KJ Abbott,3
AD Nath,0
MA Agarwal,0
HM Amla,0
Ankit Sharma,3
Anureet Singh,1
S Aravind,2
A Ashish Reddy,5
M Ashwin,5
R Ashwin,5
GJ Bailey,0
F Behardien,0
R Bhatia,5
SW Billings,0
STR Binny,3
Bipul Sharma,5
SM Boland,2
TA Boult,5
CR Brathwaite,2
DJ Bravo,5
JJ Bumrah,2
JC Buttler,0
KC Cariappa,4
YS Chahal,2
DL Chahar,1
UBT Chand,0
PP Chawla,2
0.0,5
BCJ Cutting,2
Q de Kock,0
AB de Villiers,0
R Dhawan,5
S Dhawan,0
MS Dhoni,0
AB Dinda,2
JP Duminy,5
F du Plessis,0
ER Dwivedi,0
JP Faulkner,3
AJ Finch,0
G Gambhir,0
CH Gayle,5
S Gopal,1
MJ Guptill,0
Gurkeerat Singh,2
PSP Handscomb,0
Harbhajan Singh,4
JW Hastings,2
TM Head,0
MC Henriques,5
GB Hogg,5
JO Holder,4
DJ Hooda,5
Imran Tahir,5
Iqbal Abdulla,5
Ishan Kishan,0
SS Iyer,0
RA Jadeja,5
KM Jadhav,0
SB Jakati,3
MG Johnson,4
CJ Jordan,2
KD Karthik,0
S Kaushik,5
SN Khan,0
Z Khan,5
UT Khawaja,0
V Kohli,1
Kuldeep Yadav,2
DS Kulkarni,2
B Kumar,2
P Kumar,4
CA Lynn,0
MJ McClenaghan,2
BB McCullum,0
Mandeep Singh,0
MR Marsh,2
SE Marsh,0
GJ Maxwell,1
DA Miller,0
AF Milne,4
A Mishra,2
Mohammed Shami,4
EJG Morgan,0
JA Morkel,5
M Morkel,5
CH Morris,2
C Munro,1
Mustafizur Rahman,2
S Nadeem,4
NS Naik,0
KK Nair,0
SP Narine,5
P Negi,3
A Nehra,2
NV Ojha,0
MK Pandey,0
HH Pandya,4
KH Pandya,5
RR Pant,0
Parvez Rasool,3
AR Patel,5
HV Patel,3
PA Patel,0
IK Pathan,1
YK Pathan,5
NLTC Perera,5
KP Pietersen,0
KA Pollard,1
AM Rahane,0
KL Rahul,0
SK Raina,1
AS Rajpoot,5
N Rana,0
AT Rayudu,0
KW Richardson,2
AD Russell,2
Sachin Baby,0
WP Saha,0
P Sahu,4
SV Samson,0
Sandeep Sharma,2
PJ Sangwan,1
R Sathish,4
T Shamsi,4
Shakib Al Hasan,4
I Sharma,4
KV Sharma,1
MM Sharma,5
RG Sharma,0
LMP Simmons,0
RP Singh,5
DR Smith,2
SPD Smith,0
TG Southee,5
BB Sran,5
DW Steyn,1
MP Stoinis,2
J Suchith,1
Swapnil Singh,1
PV Tambe,5
AP Tare,0
SS Tiwary,0
JD Unadkat,1
RV Uthappa,0
M Vijay,1
R Vinay Kumar,2
M Vohra,0
DA Warner,0
SR Watson,2
D Wiese,1
KS Williamson,1
J Yadav,4
SA Yadav,0
UT Yadav,2
Yuvraj Singh,1
A Zampa,1
