UA Birla,2,1,0,7,7,7,14,50,0,0,0,1,0
MJ Clarke,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0
AB Dinda,20,6,3,11,6*,3.66,16,68.75,0,0,2,1,0
JP Faulkner,1,-,-,-,-,-,-,-,-,-,-,-,-
CJ Ferguson,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0
AJ Finch,14,14,0,456,67,32.57,336,135.71,0,4,1,54,16
SC Ganguly,19,18,1,318,45,18.7,330,96.36,0,0,1,33,6
RV Gomez,2,1,1,4,4*,-,1,400,0,0,0,1,0
Harpreet Singh,3,3,1,20,13,10,26,76.92,0,0,0,0,0
AA Jhunjhunwala,3,2,0,10,10,5,18,55.55,0,0,1,2,0
Kamran Khan,1,-,-,-,-,-,-,-,-,-,-,-,-
M Kartik,17,7,6,38,14*,38,36,105.55,0,0,0,2,1
B Kumar,31,19,9,93,24*,9.3,112,83.03,0,0,1,7,1
NL McCullum,2,2,1,26,15,26,22,118.18,0,0,0,0,1
AP Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2
M Manhas,23,19,5,247,42*,17.64,236,104.66,0,0,4,19,8
MR Marsh,14,11,2,190,38,21.11,155,122.58,0,0,0,8,13
AD Mathews,20,18,4,299,40,21.35,247,121.05,0,0,1,10,14
BAW Mendis,3,1,0,2,2,2,4,50,0,0,0,0,0
MD Mishra,7,6,1,71,37*,14.2,64,110.93,0,0,0,6,2
SS Mundhe,1,-,-,-,-,-,-,-,-,-,-,-,-
AG Murtaza,4,2,1,8,5,8,9,88.88,0,0,0,1,0
AM Nayar,11,9,3,66,25*,11,73,90.41,0,0,1,5,0
A Nehra,13,2,2,11,9*,-,12,91.66,0,0,0,1,0
TD Paine,2,2,0,10,8,5,26,38.46,0,0,0,0,0
IC Pandey,2,1,0,0,0,0,2,0,0,0,1,0,0
MK Pandey,27,25,3,525,80*,23.86,476,110.29,0,3,5,51,15
WD Parnell,18,11,3,61,16,7.62,73,83.56,0,0,0,4,1
Parvez Rasool,2,2,1,5,4*,5,9,55.55,0,0,0,0,0
S Rana,2,1,0,18,18,18,16,112.5,0,0,0,2,0
M Rawat,2,2,1,5,5,5,11,45.45,0,0,0,0,0
KW Richardson,3,2,0,34,26,17,36,94.44,0,0,0,2,1
JD Ryder,24,24,1,548,86,23.82,409,133.98,0,4,2,60,19
MN Samuels,10,10,1,132,46,14.66,141,93.61,0,0,0,8,5
R Sharma,36,16,5,37,13,3.36,49,75.51,0,0,7,2,2
GC Smith,4,4,0,42,24,10.5,51,82.35,0,0,1,6,0
SPD Smith,22,21,8,521,47*,40.07,399,130.57,0,0,0,39,18
TL Suman,7,5,0,52,23,10.4,58,89.65,0,0,1,8,0
JE Taylor,5,2,1,3,2,3,3,100,0,0,0,0,0
LRPL Taylor,5,5,0,63,19,12.6,76,82.89,0,0,0,2,1
AC Thomas,15,4,2,20,12,10,19,105.26,0,0,0,1,1
K Upadhyay,3,2,2,12,11*,-,9,133.33,0,0,0,0,1
RV Uthappa,46,45,4,1103,75,26.9,923,119.5,0,4,2,107,32
SB Wagh,7,2,0,2,2,1,3,66.66,0,0,1,0,0
LJ Wright,7,6,1,106,44,21.2,60,176.66,0,0,0,16,3
Yuvraj Singh,27,26,4,581,66*,26.4,451,128.82,0,2,1,38,33
