KK Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,-
Anand Rajan,2,-,-,-,-,-,-,-,-,-,-,-,-
S Anirudha,1,1,0,3,3,3,5,60,0,0,0,0,0
Ankit Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-
A Ashish Reddy,22,18,7,245,36*,22.27,164,149.39,0,0,0,14,13
Basil Thampi,4,2,1,3,3,3,6,50,0,0,0,0,0
RK Bhui,1,1,0,0,0,0,5,0,0,0,1,0,0
Bipul Sharma,18,8,4,83,27*,20.75,51,162.74,0,0,0,3,6
RS Bopara,9,8,3,145,41,29,120,120.83,0,0,1,6,6
TA Boult,8,-,-,-,-,-,-,-,-,-,-,-,-
CR Brathwaite,4,4,1,75,43*,25,48,156.25,0,0,0,1,8
BCJ Cutting,8,7,3,116,39*,29,60,193.33,0,0,1,9,9
Q de Kock,3,3,0,6,4,2,15,40,0,0,1,1,0
S Dhawan,85,85,12,2518,92*,34.49,2026,124.28,0,19,3,294,49
AJ Finch,13,13,2,309,88*,28.09,263,117.49,0,2,0,31,9
SP Goswami,6,3,0,52,35,17.33,40,130,0,0,0,6,1
AD Hales,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6
MC Henriques,42,37,10,755,74*,27.96,586,128.83,0,5,2,63,23
JO Holder,1,1,0,16,16,16,12,133.33,0,0,0,2,1
DJ Hooda,36,29,8,309,34,14.71,254,121.65,0,0,0,16,12
CJ Jordan,2,1,0,0,0,0,1,0,0,0,1,0,0
S Kaul,27,5,2,3,2,1,16,18.75,0,0,1,0,0
B Kumar,71,19,8,78,21,7.09,61,127.86,0,0,3,9,2
P Kumar,12,4,1,17,12,5.66,25,68,0,0,1,1,0
A Mishra,27,10,3,93,30,13.28,103,90.29,0,0,3,9,0
Mohammad Nabi,5,3,0,20,14,6.66,15,133.33,0,0,0,3,0
Mohammed Siraj,6,-,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,16,15,2,310,63,23.84,256,121.09,0,2,1,19,15
Mustafizur Rahman,17,-,-,-,-,-,-,-,-,-,-,-,-
A Nehra,14,4,4,1,1*,-,1,100,0,0,0,0,0
NV Ojha,56,39,9,584,79*,19.46,485,120.41,0,1,3,35,29
MK Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5
Parvez Rasool,5,2,2,2,2*,-,2,100,0,0,0,0,0
PA Patel,13,13,0,294,61,22.61,255,115.29,0,1,0,37,4
IK Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,0,5,0
YK Pathan,15,13,4,260,45*,28.88,200,130,0,0,0,22,11
NLTC Perera,16,14,4,233,40,23.3,163,142.94,0,0,0,12,14
KL Rahul,20,16,3,308,46,23.69,290,106.2,0,0,0,20,8
Rashid Khan,31,10,3,70,34*,10,40,175,0,0,2,3,7
DB Ravi Teja,2,2,1,14,10,14,17,82.35,0,0,0,0,0
PA Reddy,7,7,0,91,27,13,101,90.09,0,0,0,9,0
WP Saha,11,10,2,122,35,15.25,102,119.6,0,0,1,17,1
BB Samantray,8,7,2,123,55,24.6,111,110.81,0,1,1,13,2
DJG Sammy,20,18,5,282,60,21.69,223,126.45,0,1,2,15,18
Sandeep Sharma,12,3,1,0,0*,0,4,0,0,0,2,0,0
KC Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,0,13,0
V Shankar,4,4,2,101,63*,50.5,75,134.66,0,1,0,12,1
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5
I Sharma,23,2,2,0,0*,-,0,-,0,0,0,0,0
KV Sharma,46,27,13,267,39*,19.07,230,116.08,0,0,1,13,12
BB Sran,15,4,4,4,2*,-,4,100,0,0,0,0,0
B Stanlake,4,1,1,5,5*,-,2,250,0,0,0,1,0
DW Steyn,37,15,9,95,19*,15.83,75,126.66,0,0,2,9,2
AP Tare,3,2,0,8,8,4,15,53.33,0,0,1,1,0
X Thalaivan Sargunam,1,1,0,10,10,10,17,58.82,0,0,0,0,0
Y Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,0,8,0
GH Vihari,22,21,3,280,46,15.55,313,89.45,0,0,0,23,1
DA Warner,59,59,10,2579,126,52.63,1746,147.7,1,26,2,255,102
CL White,13,13,1,209,52,17.41,191,109.42,0,1,2,18,7
KS Williamson,32,32,5,1146,89,42.44,834,137.41,0,11,1,98,39
Yuvraj Singh,22,21,3,488,70*,27.11,356,137.07,0,2,1,52,21
