player_name,runs_scored,balls_faced,times_out
A Ashish Reddy,280,193,15
A Chandila,4,7,0
A Chopra,53,71,6
A Choudhary,25,20,1
A Dananjaya,4,5,0
A Flintoff,62,53,2
A Kumble,35,47,3
A Mishra,341,365,29
A Mithun,34,26,5
A Mukund,19,22,2
A Nehra,41,62,7
A Nel,0,0,1
A Singh,2,10,4
A Symonds,974,750,27
A Uniyal,4,7,1
A Zampa,5,8,2
AA Bilakhia,69,85,5
AA Chavan,12,11,2
AA Jhunjhunwala,217,210,13
AA Noffke,9,10,1
AB Agarkar,179,154,10
AB Barath,42,42,2
AB Dinda,26,48,10
AB McDonald,123,100,5
AB de Villiers,3953,2619,100
AC Blizzard,120,90,7
AC Gilchrist,2069,1495,76
AC Thomas,20,19,2
AC Voges,181,143,4
AD Hales,148,118,6
AD Mascarenhas,79,78,9
AD Mathews,724,575,31
AD Nath,29,41,5
AD Russell,890,502,33
AF Milne,7,12,2
AG Murtaza,10,14,1
AG Paunikar,49,58,5
AJ Finch,1737,1329,66
AJ Tye,85,68,8
AL Menaria,401,356,21
AM Nayar,672,577,38
AM Rahane,3427,2848,104
AN Ahmed,36,26,1
AN Ghosh,7,8,2
AP Dole,34,22,2
AP Majumdar,87,76,4
AP Tare,339,273,24
AR Bawne,12,12,0
AR Patel,686,542,36
AS Rajpoot,17,31,4
AS Raut,194,167,9
AS Yadav,49,39,5
AT Rayudu,3018,2317,103
AUK Pathan,39,23,5
Abdur Razzak,0,2,0
Abhishek Sharma,63,33,1
Anirudh Singh,63,66,4
Ankit Sharma,87,67,7
Ankit Soni,7,9,2
Anureet Singh,36,47,4
Azhar Mahmood,388,303,19
B Akhil,76,55,6
B Chipli,280,251,15
B Kumar,171,173,21
B Laughlin,5,13,2
B Lee,124,97,10
B Stanlake,5,2,0
B Sumanth,35,37,1
BA Bhatt,6,7,1
BA Stokes,512,382,22
BAW Mendis,3,6,2
BB McCullum,2880,2186,104
BB Samantray,125,113,5
BB Sran,7,11,1
BCJ Cutting,220,124,9
BE Hendricks,1,3,1
BJ Haddin,18,11,1
BJ Hodge,1400,1118,42
BJ Rohrer,193,140,6
BMAJ Mendis,23,27,3
BR Dunk,40,35,3
BW Hilfenhaus,0,0,0
Basil Thampi,31,34,1
Bipul Sharma,187,123,8
C Ganapathy,0,0,0
C Madan,15,19,1
C Munro,93,71,8
C Nanda,0,1,1
C de Grandhomme,257,176,13
CA Ingram,21,26,2
CA Lynn,875,620,25
CA Pujara,390,391,19
CH Gayle,3994,2650,97
CH Morris,485,291,13
CJ Anderson,538,423,22
CJ Ferguson,98,117,6
CJ Jordan,3,5,2
CJ McKay,8,15,1
CK Kapugedera,16,23,3
CK Langeveldt,8,9,2
CL White,954,755,36
CM Gautam,169,150,10
CR Brathwaite,170,101,11
CR Woakes,63,66,6
CRD Fernando,4,3,0
D Kalyankrishna,3,8,1
D Salunkhe,33,24,2
D Wiese,127,90,4
D du Preez,10,13,1
DA Miller,1637,1169,46
DA Warner,4014,2824,99
DAJ Bracewell,12,9,0
DB Das,304,261,14
DB Ravi Teja,375,317,19
DE Bollinger,21,23,1
DH Yagnik,170,137,10
DJ Bravo,1403,1090,59
DJ Harris,111,101,4
DJ Hooda,460,349,30
DJ Hussey,1322,1075,49
DJ Jacobs,92,98,7
DJ Muthuswami,1,3,1
DJ Thornely,39,53,2
DJG Sammy,295,241,15
DJM Short,115,99,7
DL Chahar,64,35,4
DL Vettori,121,113,8
DM Bravo,6,5,0
DNT Zoysa,11,9,1
DP Nannes,4,13,1
DP Vijaykumar,1,1,0
DPMD Jayawardene,1802,1462,63
DR Martyn,19,24,1
DR Shorey,8,9,1
DR Smith,2385,1764,84
DS Kulkarni,96,103,9
DS Lehmann,18,18,2
DT Christian,446,374,25
DT Patil,13,13,2
DW Steyn,166,158,22
E Lewis,382,276,13
EJG Morgan,854,705,40
ER Dwivedi,24,14,2
F Behardien,14,13,2
F du Plessis,1457,1141,48
FH Edwards,4,5,1
FY Fazal,183,173,10
G Gambhir,4217,3404,136
GB Hogg,22,22,3
GC Smith,739,668,26
GD McGrath,4,5,1
GH Vihari,280,313,18
GJ Bailey,663,544,27
GJ Maxwell,1397,867,61
GR Napier,15,16,1
Gurkeerat Singh,342,272,21
H Das,2,5,1
H Klaasen,57,47,3
HH Gibbs,886,807,32
HH Pandya,666,480,28
HM Amla,577,407,13
HV Patel,107,67,10
Harbhajan Singh,828,597,52
Harmeet Singh,18,12,4
Harpreet Singh,20,26,2
I Malhotra,7,4,0
I Sharma,45,58,6
IC Pandey,0,2,1
IK Pathan,1139,946,53
IR Jaggi,76,97,5
IS Sodhi,1,6,1
Imran Tahir,20,27,4
Iqbal Abdulla,88,84,2
Ishan Kishan,594,431,27
J Arunkumar,23,23,3
J Botha,409,359,20
J Suchith,48,32,1
J Syed Mohammad,29,26,2
J Theron,10,12,2
J Yadav,6,10,2
JA Morkel,974,686,40
JC Archer,15,21,5
JC Buttler,1075,714,31
JD Ryder,604,458,28
JD Unadkat,54,51,5
JDP Oram,106,108,8
JDS Neesham,42,46,3
JE Taylor,3,3,1
JEC Franklin,327,301,11
JH Kallis,2427,2222,85
JJ Bumrah,35,37,3
JJ Roy,179,134,6
JJ van der Wath,18,16,2
JM Kemp,26,24,2
JO Holder,38,31,5
JP Duminy,2029,1636,51
JP Faulkner,527,389,25
JPR Scantlebury-Searles,8,6,1
JR Hopes,417,306,16
Jaskaran Singh,8,11,1
Joginder Sharma,36,30,4
K Goel,218,231,15
K Gowtham,126,64,9
K Rabada,55,64,3
K Upadhyay,12,9,0
KA Pollard,2476,1699,88
KAJ Roach,10,9,1
KB Arun Karthik,51,51,5
KC Cariappa,15,18,3
KC Sangakkara,1687,1392,65
KD Karthik,3401,2642,127
KH Pandya,708,460,23
KJ Abbott,13,8,1
KK Cooper,116,68,9
KK Nair,1459,1133,58
KL Rahul,1384,993,36
KM Jadhav,917,684,38
KMDN Kulasekara,5,3,0
KP Appanna,2,4,1
KP Pietersen,1001,743,27
KS Williamson,1146,834,27
KV Sharma,317,274,21
KW Richardson,36,39,3
Kamran Akmal,128,78,5
Kamran Khan,3,5,1
Karanveer Singh,12,17,1
Kuldeep Yadav,32,46,3
L Ablish,0,2,0
L Balaji,36,49,8
L Ronchi,34,34,5
LA Carseldine,81,68,4
LA Pomersbach,302,246,11
LE Plunkett,1,3,1
LH Ferguson,1,1,0
LJ Wright,106,60,5
LMP Simmons,1079,852,27
LPC Silva,40,26,2
LR Shukla,405,350,27
LRPL Taylor,1017,822,40
M Ashwin,1,3,2
M Kaif,259,250,18
M Kartik,113,108,7
M Klinger,73,77,4
M Manhas,514,470,23
M Markande,21,24,2
M Morkel,126,90,11
M Muralitharan,20,30,6
M Ntini,11,18,1
M Prasidh Krishna,1,5,0
M Rawat,55,69,5
M Vijay,2523,2045,96
M Vohra,1012,768,43
M de Lange,1,2,1
MA Agarwal,934,754,56
MA Khote,24,22,2
MA Starc,96,98,7
MA Wood,1,3,1
MC Henriques,969,756,34
MC Juneja,125,128,7
MD Mishra,237,208,16
MDKJ Perera,14,13,2
MEK Hussey,1977,1612,51
MF Maharoof,177,123,10
MG Johnson,167,164,13
MJ Clarke,98,94,6
MJ Guptill,189,143,9
MJ Lumb,278,194,12
MJ McClenaghan,74,54,10
MK Lomror,20,21,1
MK Pandey,2499,2090,89
MK Tiwary,1695,1449,59
ML Hayden,1107,805,30
MM Ali,77,46,4
MM Patel,39,41,6
MM Sharma,122,115,15
MN Samuels,161,172,13
MN van Wyk,167,132,3
MP Stoinis,262,208,11
MR Marsh,225,196,12
MS Bisla,798,702,38
MS Dhoni,4016,2906,100
MS Gony,99,71,10
MS Wade,22,33,3
MV Boucher,394,309,14
Mandeep Singh,1364,1106,65
Mashrafe Mortaza,2,2,0
Misbah-ul-Haq,117,81,7
Mohammad Ashraful,2,10,1
Mohammad Asif,3,6,2
Mohammad Hafeez,64,83,7
Mohammad Nabi,20,15,3
Mohammed Shami,53,51,8
Mohammed Siraj,25,22,2
Mujeeb Ur Rahman,10,7,1
Mustafizur Rahman,1,3,1
N Rana,741,571,27
N Saini,140,141,10
ND Doshi,0,13,1
NJ Maddinson,20,21,3
NJ Rimmington,1,1,0
NK Patel,121,119,4
NL McCullum,26,22,1
NLTC Perera,422,307,22
NM Coulter-Nile,52,50,8
NS Naik,23,31,2
NV Ojha,1554,1313,75
OA Shah,506,389,15
P Awana,5,14,2
P Chopra,8,6,1
P Dogra,127,138,11
P Kumar,340,314,38
P Negi,356,277,22
P Parameswaran,1,2,0
P Sahu,19,13,1
PA Patel,2475,2090,112
PA Reddy,164,160,10
PC Valthaty,505,418,22
PD Collingwood,203,156,5
PJ Cummins,77,55,6
PJ Sangwan,24,39,7
PM Sarvesh Kumar,1,2,0
PP Chawla,542,487,46
PP Ojha,16,45,12
PP Shaw,245,160,9
PR Shah,92,91,8
PSP Handscomb,6,12,1
PV Tambe,18,39,2
Pankaj Singh,7,12,2
Parvez Rasool,17,20,2
Q de Kock,927,711,33
R Ashwin,333,311,30
R Bhatia,342,284,30
R Bishnoi,19,17,3
R Dhawan,153,135,7
R Dravid,2174,1882,77
R McLaren,159,171,8
R Ninan,3,6,1
R Rampaul,51,50,5
R Sathish,270,231,17
R Sharma,66,75,14
R Shukla,19,23,1
R Tewatia,85,67,5
R Vinay Kumar,310,274,28
RA Jadeja,1821,1483,77
RA Tripathi,617,434,23
RD Chahar,3,2,0
RE Levi,83,73,6
RE van der Merwe,159,141,11
RG More,2,2,0
RG Sharma,4493,3429,141
RJ Harris,117,112,12
RJ Peterson,32,30,3
RJ Quiney,103,102,7
RK Bhui,0,5,1
RK Singh,29,31,4
RN ten Doeschate,326,235,14
RP Singh,52,76,15
RR Bhatkal,0,2,1
RR Pant,1248,767,35
RR Powar,67,64,3
RR Raje,20,18,1
RR Rossouw,53,51,5
RR Sarwan,73,75,4
RS Bopara,531,453,18
RS Gavaskar,2,8,1
RS Sodhi,4,2,0
RT Ponting,91,128,9
RV Gomez,50,51,5
RV Uthappa,4129,3135,144
Rashid Khan,70,40,7
S Anirudha,136,113,8
S Aravind,59,57,4
S Badree,13,23,5
S Badrinath,1441,1212,47
S Chanderpaul,25,31,3
S Dhawan,4058,3285,122
S Gopal,64,72,5
S Kaul,12,27,3
S Kaushik,0,1,1
S Ladda,0,9,1
S Nadeem,32,78,12
S Narwal,37,27,3
S Rana,91,81,4
S Randiv,2,4,1
S Sohal,368,292,20
S Sreesanth,34,55,4
S Sriram,31,36,2
S Tyagi,3,4,1
S Vidyut,145,109,8
SA Abbott,15,13,2
SA Asnodkar,423,339,20
SA Yadav,1120,849,42
SB Bangar,49,58,7
SB Jakati,28,29,1
SB Joshi,6,14,2
SB Styris,131,133,7
SB Wagh,2,3,2
SC Ganguly,1349,1263,53
SD Chitnis,99,89,7
SE Bond,1,2,1
SE Marsh,2477,1866,62
SJ Srivastava,5,5,1
SK Raina,4985,3601,145
SK Trivedi,42,59,7
SK Warne,198,214,20
SL Malinga,88,99,16
SM Harwood,9,14,0
SM Katich,241,186,10
SM Pollock,147,111,8
SMSM Senanayake,10,17,1
SN Khan,228,143,11
SN Thakur,22,14,3
SP Fleming,196,165,9
SP Goswami,293,291,18
SP Jackson,38,31,2
SP Narine,628,372,36
SPD Smith,1703,1293,46
SR Tendulkar,2334,1948,67
SR Watson,3177,2250,98
SS Iyer,1218,938,40
SS Shaikh,6,7,1
SS Tiwary,1276,1067,45
ST Jayasuriya,768,532,28
STR Binny,810,643,43
SV Samson,1867,1466,70
SW Billings,334,246,18
SW Tait,23,26,3
Sachin Baby,137,101,8
Salman Butt,193,161,7
Sandeep Sharma,26,39,3
Shahid Afridi,81,46,8
Shakib Al Hasan,737,579,34
Shivam Mavi,13,15,3
Shivam Sharma,5,3,1
Shoaib Ahmed,1,6,2
Shoaib Akhtar,2,7,1
Shoaib Malik,52,47,4
Shubman Gill,203,139,6
Sohail Tanvir,36,29,3
Sunny Gupta,0,1,1
Sunny Singh,43,31,4
Swapnil Singh,12,20,3
T Henderson,11,16,2
T Kohli,11,19,3
T Taibu,31,26,3
T Thushara,12,18,2
TA Boult,5,10,1
TD Paine,10,26,2
TG Southee,106,81,8
TK Curran,23,28,3
TL Suman,676,575,32
TM Dilshan,1153,1007,43
TM Head,205,148,7
TM Srivastava,8,11,1
TP Sudhindra,0,0,0
TR Birt,75,58,5
TS Mills,8,11,3
U Kaul,0,1,0
UA Birla,7,14,1
UBT Chand,300,300,20
UT Khawaja,127,100,6
UT Yadav,97,101,11
Umar Gul,39,19,3
V Kohli,4948,3784,129
V Pratap Singh,0,1,1
V Sehwag,2728,1755,99
V Shankar,313,223,6
VH Zol,29,26,2
VR Aaron,46,55,4
VRV Singh,4,3,2
VS Malik,7,7,1
VS Yeligati,2,2,1
VVS Laxman,282,267,18
VY Mahesh,15,27,2
Vishnu Vinod,19,26,3
W Jaffer,130,121,8
WA Mota,56,75,6
WD Parnell,63,75,9
WP Saha,1679,1293,69
WPUJC Vaas,81,73,8
Washington Sundar,74,50,4
X Thalaivan Sargunam,10,17,1
Y Gnaneswara Rao,19,17,1
Y Nagar,285,259,14
Y Venugopal Rao,985,836,44
YA Abdulla,0,1,0
YK Pathan,3164,2196,107
YS Chahal,15,32,3
YV Takawale,192,178,8
Yashpal Singh,47,66,4
Younis Khan,3,7,1
Yuvraj Singh,2652,2045,107
Z Khan,117,141,14
