S Ladda,1,1,2,0,21,0,-,-,10.5,-,0,0,0,0
AD Nath,5,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Agarwal,1,1,4,0,42,1,1/42,42,10.5,24,0,0,1,0
Ankit Soni,7,6,18.1,0,144,2,1/16,72,7.92,54.5,0,0,1,0
Basil Thampi,12,12,44.4,0,424,11,3/29,38.54,9.49,24.3,0,0,2,0
DJ Bravo,15,15,56,0,494,17,4/22,29.05,8.82,19.7,1,0,6,0
ER Dwivedi,4,-,-,-,-,-,-,-,-,-,-,-,2,0
JP Faulkner,15,15,43.2,0,425,8,2/34,53.12,9.8,32.5,0,0,6,0
AJ Finch,26,-,-,-,-,-,-,-,-,-,-,-,8,0
MS Gony,1,1,2,0,32,0,-,-,16,-,0,0,0,0
Ishan Kishan,16,-,-,-,-,-,-,-,-,-,-,-,4,0
RA Jadeja,27,26,78.1,0,660,13,2/18,50.76,8.44,36,0,0,6,0
SB Jakati,8,8,25,0,230,2,1/13,115,9.2,75,0,0,4,0
KD Karthik,30,-,-,-,-,-,-,-,-,-,-,-,19,3
S Kaushik,10,10,34,0,297,6,3/20,49.5,8.73,34,0,0,0,0
DS Kulkarni,20,20,67.5,4,537,21,4/14,25.57,7.91,19.3,1,0,3,0
P Kumar,22,22,68,2,552,15,2/19,36.8,8.11,27.2,0,0,2,0
BB McCullum,27,-,-,-,-,-,-,-,-,-,-,-,8,0
MM Patel,2,2,7,0,57,1,1/35,57,8.14,42,0,0,0,0
IK Pathan,1,1,2,0,26,0,-,-,13,-,0,0,0,0
SK Raina,29,10,22,0,184,1,1/11,184,8.36,132,0,0,11,0
JJ Roy,3,-,-,-,-,-,-,-,-,-,-,-,1,0
PJ Sangwan,7,7,22,0,230,5,2/38,46,10.45,26.4,0,0,1,0
NB Singh,2,2,4,0,15,1,1/7,15,3.75,24,0,0,0,0
DR Smith,24,17,31,0,301,10,4/8,30.1,9.7,18.6,1,0,10,0
DW Steyn,1,1,2,0,17,0,-,-,8.5,-,0,0,0,0
PV Tambe,7,7,16,0,143,5,2/12,28.6,8.93,19.2,0,0,1,0
Tejas Baroka,1,1,3.3,0,33,0,-,-,9.42,-,0,0,0,0
AJ Tye,6,6,21,0,141,12,5/17,11.75,6.71,10.5,0,1,0,0
