B Akhil,1,1,2,0,22,0,-,-,11,-,0,0,0,0
Y Gnaneswara Rao,2,1,1,0,7,0,-,-,7,-,0,0,2,0
RV Gomez,11,8,15,1,124,5,2/14,24.8,8.26,18,0,0,1,0
BJ Hodge,14,4,11,0,77,7,4/13,11,7,9.4,1,0,1,0
RA Jadeja,14,14,42,0,305,8,2/25,38.12,7.26,31.5,0,0,1,0
KM Jadhav,6,-,-,-,-,-,-,-,-,-,-,-,2,0
DPMD Jayawardene,13,-,-,-,-,-,-,-,-,-,-,-,6,0
M Klinger,4,-,-,-,-,-,-,-,-,-,-,-,0,0
VVS Laxman,3,-,-,-,-,-,-,-,-,-,-,-,0,0
BB McCullum,13,-,-,-,-,-,-,-,-,-,-,-,2,0
M Muralitharan,5,5,19,0,141,2,1/18,70.5,7.42,57,0,0,1,0
P Parameswaran,5,5,15.4,0,137,4,2/20,34.25,8.74,23.5,0,0,0,0
PA Patel,14,-,-,-,-,-,-,-,-,-,-,-,8,1
NLTC Perera,4,4,14,0,111,2,1/30,55.5,7.92,42,0,0,0,0
RR Powar,5,5,12,0,112,2,1/20,56,9.33,36,0,0,0,0
P Prasanth,1,1,1,0,18,0,-,-,18,-,0,0,0,0
OA Shah,3,-,-,-,-,-,-,-,-,-,-,-,2,0
RP Singh,14,14,50,0,345,13,4/25,26.53,6.9,23,1,0,6,0
S Sreesanth,9,9,31.5,2,206,7,2/10,29.42,6.47,27.2,0,0,1,0
R Vinay Kumar,13,13,44.4,0,335,12,3/25,27.91,7.5,22.3,0,0,4,0
